代码,名称,原总市值(亿),预测总市值(亿),市值差比率
600469,风神股份,21.6,17.9,-17.13%
600470,六国化工,20.7,20.69,-0.05%
600475,华光股份,48.6,26.38,-45.72%
600476,湘邮科技,20.9,54.39,160.24%
600477,杭萧钢构,66.6,65.71,-1.34%
600478,科力远,68.3,66.16,-3.13%
600479,千金药业,33.4,32.36,-3.11%
600480,凌云股份,38.1,21.13,-44.54%
600481,双良节能,58.7,55.22,-5.93%
600482,中国动力,387.0,335.21,-13.38%
600483,福能股份,133.0,111.14,-16.44%
600486,扬农化工,120.0,136.16,13.47%
600487,亨通光电,356.0,388.19,9.04%
600488,天药股份,42.3,40.6,-4.02%
600489,中金黄金,290.0,266.96,-7.94%
600490,鹏欣资源,103.0,88.71,-13.87%
600491,龙元建设,101.0,106.5,5.45%
600493,凤竹纺织,16.8,20.52,22.14%
600495,晋西车轴,56.3,55.45,-1.51%
600496,精工钢构,50.9,47.51,-6.66%
600497,驰宏锌锗,220.0,237.51,7.96%
600498,烽火通信,340.0,348.44,2.48%
600499,科达洁能,69.9,75.63,8.20%
600500,中化国际,144.0,117.11,-18.67%
600501,航天晨光,28.9,28.47,-1.49%
600502,安徽水利,65.1,76.24,17.11%
600503,华丽家族,53.0,64.0,20.75%
600505,西昌电力,17.8,24.14,35.62%
600506,香梨股份,16.0,32.21,101.31%
600507,方大特钢,157.0,171.15,9.01%
600508,上海能源,71.3,63.76,-10.58%
600509,天富能源,43.4,55.0,26.73%
600510,黑牡丹,64.9,63.1,-2.77%
600511,国药股份,164.0,90.46,-44.84%
600512,腾达建设,37.1,52.38,41.19%
600513,联环药业,17.8,23.75,33.43%
600515,海航基础,194.0,317.27,63.54%
600516,方大炭素,305.0,363.37,19.14%
600517,置信电气,55.2,50.78,-8.01%
600518,康美药业,373.0,499.42,33.89%
600519,贵州茅台,7988.0,8028.33,0.50%
600520,文一科技,20.8,51.25,146.39%
600521,华海药业,133.0,156.95,18.01%
600522,中天科技,261.0,321.87,23.32%
600523,贵航股份,41.5,44.32,6.80%
600525,长园集团,61.1,100.35,64.24%
600526,菲达环保,26.4,27.2,3.03%
600527,江南高纤,31.5,23.57,-25.17%
600528,中铁工业,251.0,257.81,2.71%
600529,山东药玻,79.0,78.82,-0.23%
600530,交大昂立,35.8,37.95,6.01%
600531,豫光金铅,40.1,44.98,12.17%
600532,宏达矿业,21.4,26.27,22.76%
600533,栖霞建设,33.1,43.16,30.39%
600535,天士力,272.0,292.6,7.57%
600536,中国软件,107.0,150.02,40.21%
600537,亿晶光电,36.7,41.51,13.11%
600540,新赛股份,18.0,20.69,14.94%
600543,莫高股份,21.7,23.2,6.91%
600546,山煤国际,65.8,-8.78,-113.34%
600547,山东黄金,674.0,478.12,-29.06%
600548,深高速,196.0,139.24,-28.96%
600549,厦门钨业,173.0,165.3,-4.45%
600550,保变电气,80.1,76.7,-4.24%
600551,时代出版,44.9,38.0,-15.37%
600552,凯盛科技,29.6,26.85,-9.29%
600555,海航创新,38.1,32.27,-15.30%
600556,ST慧球,23.1,35.51,53.72%
600557,康缘药业,62.3,65.84,5.68%
600558,大西洋,30.4,28.79,-5.30%
600559,老白干酒,85.1,86.7,1.88%
600560,金自天正,19.3,34.52,78.86%
600561,江西长运,13.9,4.16,-70.07%
600562,国睿科技,87.8,107.46,22.39%
600563,法拉电子,97.9,162.43,65.91%
600565,迪马股份,67.1,89.29,33.07%
600566,济川药业,260.0,311.55,19.83%
600567,山鹰纸业,148.0,236.78,59.99%
600568,中珠医疗,50.6,55.13,8.95%
600569,安阳钢铁,75.2,127.59,69.67%
600570,恒生电子,346.0,431.7,24.77%
600571,信雅达,32.3,29.0,-10.22%
600572,康恩贝,157.0,161.81,3.06%
600573,惠泉啤酒,17.4,10.0,-42.53%
600575,皖江物流,89.0,102.86,15.57%
600576,祥源文化,28.7,30.24,5.37%
600577,精达股份,60.6,55.94,-7.69%
600578,京能电力,200.0,260.55,30.28%
600579,天华院,32.9,39.75,20.82%
600580,卧龙电气,88.1,99.96,13.46%
600581,八一钢铁,55.5,71.4,28.65%
600582,天地科技,146.0,145.0,-0.68%
600583,海油工程,231.0,228.41,-1.12%
600584,长电科技,141.0,142.92,1.36%
600585,海螺水泥,1572.0,1585.18,0.84%
600586,金晶科技,43.7,51.51,17.87%
600587,新华医疗,52.9,56.72,7.22%
600588,用友网络,462.0,428.05,-7.35%
600589,广东榕泰,30.3,30.38,0.26%
600590,泰豪科技,51.3,66.58,29.79%
600592,龙溪股份,25.2,20.92,-16.98%
600593,大连圣亚,34.6,92.82,168.27%
600594,益佰制药,45.5,52.78,16.00%
600595,中孚实业,44.9,65.26,45.35%
