最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润
7.32,17.05,1.8,32.0,68.6,-0.58,168.0,4.42,0.32,68.4,4.53,4.08,0.82,9.49,1.01,12.76,108.0,68.4,24.2,1.12,46.27,19.2,49.9,40.6,9.23,2.04,3.02
1.21,-6.03,-0.79,33.0,12.4,-96.1,1.16,-3.75,-0.15,12.4,-3.75,-1.53,-190.85,-66.2,-2.72,20.87,18.5,12.4,2.4,0.6445,292.2,7.12,54.0,42.0,12.0,0.29,-3.67
4.84,11.21,1.02,34.0,40.3,1.71,35.4,3.68,0.32,23.7,3.7,4.74,-38.36,20.5,2.11,27.26,90.5,23.7,52.3,5.23,44.62,13.3,40.4,28.7,11.7,1.37,3.15
4.21,9.03,1.2,35.0,43.5,47.25,18.8,3.87,0.35,29.1,3.99,3.52,3.98,19.9,1.92,30.79,56.0,29.1,9.61,11.9,34.22,5.15,19.2,15.1,4.06,0.5,3.62
2.73,16.05,0.94,7.0,36.6,61.15,15.6,2.42,0.13,215.0,2.43,2.89,992.46,19.5,1.46,47.25,244.0,215.0,0.6083,0.0216,81.97,3.98,200.0,164.0,35.8,0.3,1.71
3.36,420.51,1.2,36.0,22.3,-0.74,22.6,0.3014,0.01,41.6,0.3254,2.81,-90.51,6.54,0.99,13.72,76.3,41.6,21.9,2.15,72.25,3.9,55.1,48.4,6.73,0.59,0.0397
9.33,14.61,1.06,22.0,120.0,26.71,135.0,13.5,0.48,161.0,13.1,8.78,-66.57,52.4,3.87,39.88,369.0,161.0,41.0,29.8,53.38,49.3,197.0,151.0,45.4,3.64,6.48
6.89,55.33,1.45,22.0,21.0,-0.44,5.47,0.4193,0.09,9.3,0.4165,4.74,20.85,4.72,1.26,67.42,20.0,9.3,3.59,0.6737,11.7,8.12,2.34,2.29,0.053,2.17,0.3486
7.83,15.28,1.85,6.0,24.6,4.88,44.9,2.56,0.38,34.1,2.53,4.24,-3.99,8.61,2.74,15.81,53.1,34.1,11.6,1.56,64.28,0.1523,34.1,33.6,0.5011,0.05,1.21
16.8,195.21,48.81,16.0,38.3,2920.96,16.1,0.2145,0.06,7.34,0.2145,0.34,3192.1,-2.52,-1.1,3.31,7.36,7.34,0.0121,0.000324,89.24,0.9574,6.57,6.56,0.0036899999999999997,0.42,0.1485
3.05,-30.65,1.52,25.0,34.3,-4.39,2.84,-0.8601,-0.07,22.2,-0.8594,2.01,-14.99,-16.3,-1.45,34.69,28.3,22.2,1.93,1.24,20.64,26.8,5.84,5.79,0.0492,2.38,-0.8387
26.96,32.63,4.12,22.0,370.0,7.09,105.0,17.7,0.62,160.0,17.8,6.55,3.72,49.1,3.58,48.22,203.0,160.0,19.3,3.41,30.12,20.1,61.0,50.3,10.8,1.46,8.5
4.59,-65.47,1.98,37.0,48.5,-64.47,24.6,-0.8867,-0.05,105.0,-0.8867,2.32,-128.32,11.1,0.82,20.42,122.0,105.0,1.98,0.4214,74.17,6.33,90.7,75.3,15.5,0.47,-0.7099
7.39,10.62,0.94,38.0,274.0,0.34,282.0,25.0,0.52,512.0,25.7,7.85,4.46,130.0,3.49,20.28,919.0,512.0,248.0,36.8,59.41,111.0,546.0,376.0,170.0,2.99,19.4
5.53,14.82,1.28,21.0,38.9,14.83,79.7,5.88,0.28,65.0,5.87,4.32,0.18,28.4,1.97,13.03,88.9,65.0,11.5,4.7,27.26,25.9,24.2,19.8,4.42,1.8,4.03
3.9,-241.2,1.92,34.0,13.1,14.24,0.5038,-0.0538,-0.01,7.83,-0.053,2.03,-139.98,-12.8,-2.93,1.33,11.7,7.83,0.1089,1.05,24.18,16.7,2.84,0.476,2.36,3.82,-0.053
8.13,10.11,1.31,19.0,91.3,22.53,124.0,8.71,0.6,123.0,8.71,6.19,10.41,15.9,1.41,5.45,137.0,123.0,0.7578,0.0302,44.63,40.4,61.1,50.4,10.7,3.6,6.77
3.74,124.81,0.8,7.0,85.1,71.19,70.1,0.8948,0.02,443.0,1.74,4.7,-91.53,31.4,1.27,33.92,542.0,443.0,6.34,0.0071400000000000005,76.89,58.3,417.0,292.0,124.0,2.36,0.5563
4.05,-415.42,2.01,7.0,14.6,9.49,1.35,0.0218,-0.01,4.79,0.0217,2.01,-142.9,0.6166,0.17,36.05,10.4,4.79,1.77,0.2708,28.07,2.67,2.93,2.54,0.3959,0.74,-0.0264
5.15,61.54,1.69,36.0,57.8,-20.12,367.0,3.33,0.06,351.0,3.52,3.05,294.69,-30.9,-2.34,14.98,661.0,351.0,217.0,40.4,91.22,54.0,603.0,533.0,69.8,4.08,0.8293
10.49,15.47,1.55,39.0,21.3,11.31,14.3,1.42,0.51,12.2,1.39,6.77,347.19,4.95,2.05,40.09,20.0,12.2,5.48,1.07,17.07,6.12,3.41,3.12,0.2882,2.54,1.23
5.75,18.24,0.96,9.0,157.0,7.11,188.0,9.67,0.24,105.0,9.65,6.01,8.76,61.0,2.24,9.92,383.0,105.0,153.0,8.12,48.78,39.5,187.0,102.0,85.0,1.45,6.45
10.11,-39.26,1.5,41.0,300.0,0.66,166.0,-3.81,-0.19,332.0,-3.76,6.75,-210.63,66.3,2.24,22.94,660.0,332.0,36.1,13.5,64.15,94.0,424.0,289.0,134.0,3.17,-5.72
6.96,16.12,1.04,9.0,22.6,8.62,12.1,1.16,0.32,7.74,1.15,6.69,12.08,12.2,3.76,15.6,31.4,7.74,18.5,1.5,30.73,4.87,9.64,6.43,3.21,1.5,1.05
2.77,21.39,1.42,28.0,29.4,13.96,22.6,2.28,0.1,31.7,2.19,1.96,70.84,1.46,0.08,20.94,50.6,31.7,12.9,3.7,26.96,13.5,13.6,12.3,1.33,0.76,1.72
25.17,7.97,1.27,6.0,2895.0,10.97,6747.0,430.0,2.37,4174.0,436.0,19.75,12.31,1108.0,9.49,13.37,7343.0,4174.0,654.0,126.0,61.97,548.0,4551.0,3782.0,769.0,4.69,277.0
5.16,45.44,2.42,42.0,63.9,32.34,22.4,0.8496,0.09,28.0,1.34,2.13,-36.63,6.77,0.54,11.96,52.1,28.0,5.56,1.16,41.72,5.46,21.7,19.4,2.32,0.44,1.07
6.45,-451.32,4.21,29.0,23.2,4.21,3.1,-0.0482,-0.01,6.37,-0.0476,1.53,38.79,-0.1084,-0.03,39.98,13.4,6.37,1.29,0.5242,56.09,1.79,7.51,7.1,0.411,0.5,-0.0386
2.71,63.16,1.11,39.0,52.8,12.12,14.1,0.6371,0.03,35.7,0.6692,2.44,1.36,18.8,0.97,24.68,82.0,35.7,12.8,27.8,41.6,5.31,34.1,17.3,16.8,0.27,0.6266
4.17,59.19,2.3,43.0,48.0,-7.18,17.7,1.03,0.05,37.8,1.07,1.81,-62.84,1.76,0.15,25.3,72.1,37.8,19.1,2.33,66.51,6.79,47.9,36.9,11.0,0.59,0.6078
9.06,65.07,3.63,44.0,329.0,31.34,93.2,5.55,0.1,174.0,5.65,2.5,8.67,38.5,1.06,14.38,242.0,174.0,33.8,6.99,48.83,1.54,118.0,72.1,45.8,0.04,3.79
