,代码,名称,最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润,总市值
1992,977,浪潮信息,16.11,41.85,2.71,41,207亿,102.62,336亿,4.84亿,0.29,240亿,4.86亿,5.94,48.76,18.8亿,1.46,10.86,259亿,240亿,4.16亿,9.83亿,69.24,42.4亿,180亿,153亿,26.8亿,3.29,3.72亿,208亿
1993,978,桂林旅游,5.51,18.83,1.26,20,19.8亿,4.95,4.39亿,8470万,0.22,3.43亿,8544万,4.36,13.69,1.53亿,0.43,49.59,28.8亿,3.43亿,10.1亿,4.91亿,43.94,9.73亿,12.6亿,4.54亿,8.10亿,2.7,7904万,19.8亿
1994,979,中弘退,----,-0.73,0.33,7,18.5亿,14.74,32.6亿,-19.5亿,-0.22,366亿,-19.5亿,0.67,-2379.61,-35.2亿,-0.42,25.62,449亿,366亿,6.24亿,2.59亿,85.07,7.85亿,382亿,263亿,119亿,0.09,-18.8亿,18.5亿
1995,980,众泰汽车,4.77,17.47,0.56,6,59.4亿,15.26,134亿,5.23亿,0.2,159亿,5.30亿,8.47,-13.55,18.6亿,0.92,17.89,313亿,159亿,36.8亿,43.1亿,45.12,133亿,141亿,133亿,8.74亿,6.55,4.15亿,96.7亿
1996,981,银亿股份,3.1,10.98,0.77,6,79.8亿,-25.03,63.6亿,11.8亿,0.21,219亿,11.7亿,4.03,-5.53,41.4亿,1.03,28.95,408亿,219亿,37.5亿,26.8亿,59.03,95.1亿,241亿,179亿,61.4亿,2.36,8.53亿,125亿
1997,982,*ST 中绒,1.29,-3.33,1.66,29,23.3亿,-7.75,15.2亿,-5.16亿,-0.29,40.0亿,-5.08亿,0.78,-36.09,-24.5亿,-1.36,5.89,105亿,40.0亿,50.5亿,1.87亿,86.6,20.3亿,91.1亿,77.5亿,13.7亿,1.12,-5.24亿,23.3亿
1998,983,西山煤电,5.43,8.43,0.87,46,171亿,11.12,234亿,26.6亿,0.48,181亿,26.4亿,6.26,10.86,126亿,4,31.71,602亿,181亿,269亿,34.0亿,61.14,9.32亿,368亿,228亿,140亿,0.3,15.2亿,171亿
1999,985,大庆华科,12.96,-135.73,3.21,11,16.8亿,1.95,11.1亿,-932万,-0.07,3.02亿,-928万,4.03,-125.07,6002万,0.46,6.38,7.07亿,3.02亿,3.37亿,1138万,26.05,2.59亿,1.84亿,1.37亿,4751万,2,-928万,16.8亿
2000,987,越秀金控,8.63,60.73,1.24,19,46.5亿,14.32,42.7亿,5.15亿,0.11,0,5.45亿,6.98,-38.81,12.5亿,0.45,0,900亿,0,2.27亿,7206万,78.51,89.0亿,706亿,0,0,5.35,2.93亿,238亿
2001,988,华工科技,12.55,36.9,2.32,50,112亿,22.3,40.3亿,3.15亿,0.26,64.7亿,3.15亿,5.42,0.6,17.4亿,1.73,24,85.4亿,64.7亿,11.5亿,2.66亿,34.72,25.9亿,29.6亿,28.3亿,1.35亿,2.58,2.56亿,126亿
2002,989,九 芝 堂,10.24,19.96,1.98,22,43.0亿,-7.38,25.5亿,3.87亿,0.38,32.6亿,3.96亿,5.17,-35.08,16.0亿,1.84,65.37,57.2亿,32.6亿,11.4亿,3.03亿,21.47,17.6亿,12.3亿,11.5亿,7886万,2.03,3.34亿,89.0亿
2003,990,诚志股份,12.19,17.6,0.93,34,47.3亿,3.85,43.6亿,7.73亿,0.52,78.3亿,7.60亿,13.06,-2.81,20.9亿,1.67,33.69,226亿,78.3亿,41.3亿,6.00亿,27.02,129亿,61.1亿,35.4亿,25.7亿,10.3,6.51亿,153亿
2004,991,通海高科,----,57.74,10.85,2,0,0,0,1.68亿,0.29,8.01亿,1.71亿,1.56,-27.25,7716万,0.22,0,14.4亿,8.01亿,3.66亿,7384万,60.17,8917万,8.66亿,7.14亿,1.51亿,0.25,1.02亿,59.1亿
2005,993,闽东电力,5.01,-20.92,1.07,9,18.7亿,-46.67,3.95亿,-7445万,-0.18,11.6亿,-7618万,4.7,-180.4,2069万,0.05,43.4,41.4亿,11.6亿,19.0亿,9128万,45.99,16.5亿,19.1亿,10.8亿,8.25亿,3.6,-8227万,22.9亿
2006,995,*ST皇台,4.68,-14.86,-4.5,25,8.30亿,-76.61,950万,-3857万,-0.24,8748万,-4191万,-1.04,37.82,-6.74亿,-3.8,-49.4,2.35亿,8748万,6144万,8584万,178.51,3.06亿,4.20亿,3.70亿,4958万,1.73,-4191万,8.30亿
2007,996,中国中期,9.02,279.75,5.78,6,31.1亿,3.82,3958万,823万,0.02,1.90亿,820万,1.56,-70.18,1.16亿,0.34,12.96,6.08亿,1.90亿,341万,13.3万,11.54,4196万,7016万,3638万,3378万,0.12,834万,31.1亿
2008,997,新 大 陆,15.27,24.15,3,41,153亿,16.67,41.3亿,5.73亿,0.47,79.7亿,5.54亿,5.09,-13.56,24.0亿,2.38,28.73,107亿,79.7亿,5.89亿,1.91亿,50.64,15.5亿,54.0亿,51.0亿,2.99亿,1.54,4.79亿,154亿
2009,998,隆平高科,13.9,169.56,3.24,39,134亿,15.71,14.6亿,1.50亿,0.06,59.7亿,1.48亿,4.29,-51.86,19.5亿,1.55,45.74,133亿,59.7亿,11.6亿,8.34亿,55.84,22.4亿,74.4亿,46.0亿,28.4亿,1.79,7723万,175亿
2010,999,华润三九,23.15,15.28,2.16,22,226亿,26.2,94.4亿,13.4亿,1.14,71.1亿,13.3亿,10.73,15.99,78.2亿,7.99,68.54,167亿,71.1亿,32.5亿,18.7亿,35.06,11.8亿,58.5亿,52.9亿,5.57亿,1.21,11.1亿,227亿
2011,1696,宗申动力,4.64,13.6,1.32,40,41.4亿,17.49,46.5亿,3.74亿,0.26,40.7亿,3.76亿,3.52,31.85,19.7亿,1.72,16.72,85.1亿,40.7亿,7.51亿,1.93亿,47.47,5.58亿,40.4亿,31.6亿,8.76亿,0.49,2.93亿,53.1亿
2012,1872,招商港口,14.53,----,----,2,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
2013,1896,豫能控股,3.3,-9.34,0.63,9,30.7亿,23.77,72.3亿,-5.26亿,-0.26,61.2亿,-5.27亿,5.26,-425.35,-2.73亿,-0.24,-0.75,222亿,61.2亿,124亿,4.73亿,68.77,50.0亿,153亿,81.0亿,71.9亿,4.35,-3.05亿,38.0亿
2014,1965,招商公路,8.12,12.41,1.11,3,45.1亿,21.12,45.1亿,37.1亿,0.49,101亿,37.5亿,7.33,7.84,92.4亿,1.5,47.36,832亿,101亿,27.9亿,397亿,40.06,292亿,333亿,60.7亿,273亿,4.73,30.3亿,502亿
2015,1979,招商蛇口,17.68,12.67,2.25,7,336亿,25.76,338亿,130亿,1.05,3668亿,130亿,7.84,114.42,384亿,4.85,41.17,4195亿,3668亿,33.9亿,5.47亿,77.17,121亿,3237亿,2405亿,832亿,1.53,82.8亿,1397亿
2016,2001,新 和 成,14.83,9.42,2.04,22,271亿,64.2,67.2亿,30.0亿,1.18,107亿,30.2亿,7.28,181.6,82.9亿,3.86,56.04,205亿,107亿,48.3亿,12.5亿,23.34,45.3亿,47.8亿,37.4亿,10.4亿,2.11,25.4亿,319亿
2017,2002,鸿达兴业,3.1,9.05,1.3,34,79.0亿,-10.35,43.2亿,8.01亿,0.26,47.5亿,8.05亿,2.38,-22.39,23.1亿,0.89,36.66,137亿,47.5亿,73.2亿,3.63亿,54.74,10.7亿,75.2亿,61.1亿,14.1亿,0.41,6.65亿,80.3亿
2018,2003,伟星股份,7.21,13.55,2.32,29,45.4亿,7.31,19.9亿,3.65亿,0.4,16.1亿,3.65亿,3.11,8.2,7.92亿,1.05,41.11,32.6亿,16.1亿,10.9亿,1.86亿,25.45,5.98亿,8.31亿,7.79亿,5150万,0.79,3.02亿,54.7亿
2019,2004,华邦健康,4.87,15.54,1.07,52,82.2亿,27.04,77.6亿,9.41亿,0.24,121亿,9.41亿,4.56,4.03,22.0亿,1.08,38.8,269亿,121亿,43.9亿,14.1亿,52.86,49.8亿,142亿,110亿,32.5亿,2.45,4.78亿,99.1亿
2020,2005,德豪润达,2.51,242.41,0.73,26,40.4亿,-6.5,29.8亿,1424万,0.01,38.5亿,1406万,3.43,114.04,-4.81亿,-0.27,18.26,112亿,38.5亿,36.8亿,10.8亿,43.35,46.9亿,48.4亿,46.6亿,1.79亿,2.66,1370万,44.3亿
2021,2006,精功科技,5.52,58.77,2.4,13,25.1亿,31.79,7.33亿,2985万,0.07,13.5亿,3036万,2.3,5.96,2.21亿,0.48,16.77,19.6亿,13.5亿,2.21亿,4369万,46.16,2.70亿,9.07亿,9.04亿,298万,0.59,3207万,25.1亿
2022,2007,华兰生物,30.91,28.39,5.59,22,248亿,22.19,20.4亿,8.83亿,0.82,41.4亿,9.04亿,5.53,22.69,33.7亿,3.62,61.28,57.5亿,41.4亿,9.04亿,2.04亿,7.32,3.95亿,4.21亿,4.21亿,0,0.42,7.60亿,287亿
2023,2008,大族激光,28.71,13.87,3.74,13,285亿,-2.9,86.6亿,17.8亿,1.55,124亿,17.9亿,7.68,10.29,57.7亿,5.41,38.25,183亿,124亿,14.2亿,7.45亿,50.86,7.92亿,93.2亿,71.0亿,22.1亿,0.74,16.6亿,306亿
2024,2009,天奇股份,8,16.21,1.41,13,21.7亿,44.21,25.1亿,1.71亿,0.37,40.8亿,1.73亿,5.66,72.4,7.38亿,1.99,21.05,59.8亿,40.8亿,7.89亿,3.82亿,59.77,9.18亿,35.8亿,34.5亿,1.30亿,2.48,1.37亿,29.6亿
2025,2010,传化智联,6.31,38.12,1.75,23,173亿,46.54,177亿,7.40亿,0.12,140亿,7.37亿,3.6,69.71,21.7亿,0.67,9.7,282亿,140亿,16.2亿,12.4亿,54.55,60.4亿,154亿,92.2亿,61.9亿,1.86,4.04亿,206亿
2026,2011,盾安环境,4.47,74.32,0.93,13,37.6亿,15.06,67.6亿,1315万,0.05,52.9亿,1544万,4.82,-28.73,12.3亿,1.34,14.74,119亿,52.9亿,17.6亿,41.1亿,62.63,21.2亿,74.4亿,59.0亿,15.4亿,2.31,4138万,41.0亿
2027,2012,凯恩股份,4.26,80.68,1.62,28,19.9亿,15.32,8.30亿,3121万,0.04,10.2亿,3122万,2.63,-23.25,4.17亿,0.89,22.43,18.1亿,10.2亿,5.17亿,4028万,26.77,2.72亿,4.84亿,4.17亿,6722万,0.58,1852万,19.9亿
2028,2013,中航机电,7.48,40.21,3.11,15,235亿,8.91,79.5亿,6.27亿,0.14,189亿,6.77亿,2.4,28.95,33.0亿,0.91,23.94,289亿,189亿,48.3亿,11.2亿,60.57,10.3亿,175亿,132亿,42.8亿,0.28,5.03亿,270亿
2029,2014,永新股份,6.59,16.68,1.88,54,32.0亿,15.62,16.6亿,1.80亿,0.3,15.4亿,1.80亿,3.5,9.98,6.42亿,1.27,21.61,23.7亿,15.4亿,6.31亿,6128万,24.31,4.31亿,5.77亿,5.17亿,5907万,0.86,1.49亿,33.2亿
2030,2015,霞客环保,4.93,1294.13,3.72,29,19.8亿,25.22,3.23亿,301万,0,4.84亿,301万,1.32,132.43,-11.3亿,-2.82,5.86,5.86亿,4.84亿,6389万,3056万,6.64,12.4亿,3895万,3895万,0,3.1,114万,19.8亿
2031,2016,世荣兆业,9,9.52,2.95,7,61.8亿,-9.54,14.1亿,7.73亿,0.71,62.5亿,7.67亿,3.05,45.38,13.0亿,1.61,66.7,69.7亿,62.5亿,1.49亿,733万,64.65,1.36亿,45.0亿,28.2亿,16.8亿,0.17,5.74亿,72.8亿
2032,2017,东信和平,10.52,89.05,3.79,42,36.3亿,-4.32,8.09亿,3700万,0.09,12.9亿,3698万,2.78,4.19,3.30亿,0.95,25.85,16.7亿,12.9亿,2.03亿,325万,42.41,2.13亿,7.10亿,6.56亿,5430万,0.61,3069万,36.4亿
2033,2018,*ST华信,1.22,-1.67,1.14,11,27.8亿,-93.5,8.85亿,-11.8亿,-0.55,36.7亿,-11.8亿,1.07,-426.71,-1.94亿,-0.09,10.9,42.7亿,36.7亿,1.68亿,187万,39.32,1.13亿,16.8亿,16.7亿,1422万,0.05,-12.5亿,27.8亿
2034,2019,亿帆医药,10.33,13.15,1.89,22,84.0亿,12.02,34.3亿,8.49亿,0.59,34.2亿,8.48亿,5.46,-18.87,27.2亿,2.26,45.28,92.3亿,34.2亿,8.01亿,3.75亿,25.54,26.9亿,23.6亿,18.9亿,4.72亿,2.23,7.11亿,125亿
2035,2020,京新药业,8.51,13.57,1.67,22,50.0亿,44.4,22.3亿,3.88亿,0.47,31.7亿,3.92亿,5.09,36.91,8.72亿,1.2,62.9,49.9亿,31.7亿,6.64亿,1.45亿,25.82,20.5亿,12.9亿,12.2亿,6760万,2.83,3.41亿,61.7亿
2036,2021,中捷资源,2.98,65.77,2.13,13,20.5亿,31.78,9.01亿,2932万,0.03,11.1亿,2618万,1.4,140.11,-2.66亿,-0.39,18.67,16.9亿,11.1亿,2.42亿,3757万,43.32,5.00亿,7.34亿,7.04亿,3002万,0.73,2337万,20.5亿
2037,2022,科华生物,9.62,18.51,2.27,22,47.6亿,29.07,14.7亿,2.67亿,0.39,17.3亿,2.70亿,4.24,8.05,11.6亿,2.25,41.84,34.5亿,17.3亿,3.82亿,2.36亿,29.66,3.17亿,10.2亿,6.38亿,3.85亿,0.62,2.01亿,49.6亿
2038,2023,海特高新,10.7,124.94,2.32,15,70.5亿,15.73,3.59亿,2831万,0.06,19.4亿,2906万,4.61,10.23,5.62亿,0.74,40.67,62.7亿,19.4亿,23.0亿,3.35亿,36.93,18.8亿,23.1亿,10.5亿,12.6亿,2.49,4861万,81.0亿
2039,2024,苏宁易购,10.68,12.17,1.22,47,624亿,31.15,1730亿,58.1亿,0.66,1097亿,60.2亿,8.78,812.11,251亿,2.7,14.7,1890亿,1097亿,154亿,92.3亿,52.8,382亿,998亿,810亿,188亿,4.1,61.3亿,994亿
2040,2025,航天电器,24.65,29.78,4.07,50,106亿,8.87,19.6亿,3.08亿,0.62,39.7亿,3.20亿,6.06,17.19,12.6亿,2.94,39.19,47.4亿,39.7亿,4.77亿,8383万,35.32,4.82亿,16.7亿,15.3亿,1.44亿,1.12,2.66亿,106亿
2041,2026,山东威达,5.8,12.41,0.99,13,21.4亿,15.78,12.3亿,1.64亿,0.35,19.4亿,1.75亿,5.87,34.92,7.07亿,1.68,24.64,30.6亿,19.4亿,6.66亿,1.08亿,19.19,12.4亿,5.87亿,5.46亿,4122万,2.96,1.47亿,24.4亿
2042,2027,分众传媒,5.59,12.79,6.06,14,389亿,24.59,109亿,58.1亿,0.33,121亿,58.1亿,0.92,22.81,133亿,0.9,69.24,185亿,121亿,12.6亿,3030万,25.86,1.86亿,47.8亿,36.2亿,11.6亿,0.01,48.1亿,820亿
2043,2028,思源电气,10.97,26.09,1.85,38,63.6亿,7.98,30.6亿,2.30亿,0.32,60.9亿,2.67亿,5.94,30.04,33.7亿,4.43,31.07,71.4亿,60.9亿,5.30亿,1.71亿,34.83,6371万,24.9亿,24.5亿,3846万,0.08,2.40亿,83.4亿
2044,2029,七 匹 狼,6.45,17.03,0.87,29,48.7亿,14.5,23.5亿,2.92亿,0.28,56.4亿,2.92亿,7.41,10.18,23.0亿,3.04,39.09,84.1亿,56.4亿,3.47亿,3.29亿,32.67,18.8亿,27.5亿,27.1亿,4090万,2.49,2.15亿,48.7亿
2045,2030,达安基因,10.16,77.44,4.56,22,77.6亿,2.84,11.9亿,9718万,0.1,29.5亿,9707万,2.23,2.57,2.09亿,0.26,41.13,45.1亿,29.5亿,3.99亿,1.90亿,38.08,6.66亿,17.2亿,15.9亿,1.27亿,0.83,7846万,81.0亿
2046,2031,巨轮智能,2.04,74.48,1.47,6,38.6亿,20.16,9.79亿,1.51亿,0.02,39.4亿,1.52亿,1.39,13.18,6.67亿,0.3,38.07,70.3亿,39.4亿,13.7亿,2.26亿,50.43,3980万,35.5亿,20.6亿,14.9亿,0.02,4518万,44.9亿
2047,2032,苏 泊 尔,50.07,27.92,8.31,26,272亿,24.71,134亿,13.8亿,1.34,78.4亿,13.8亿,6.03,21.81,40.1亿,4.43,30.21,94.7亿,78.4亿,8.46亿,3.97亿,43.74,1.28亿,41.4亿,41.2亿,1938万,0.16,11.0亿,411亿
2048,2033,丽江旅游,5.87,11.92,1.32,20,32.3亿,4.21,5.60亿,2.57亿,0.37,13.4亿,2.57亿,4.45,10.49,11.6亿,2.11,72.54,27.1亿,13.4亿,7.76亿,8585万,5.38,5.58亿,1.46亿,1.40亿,571万,1.02,2.03亿,32.3亿
2049,2034,旺能环境,11.89,16.6,1.39,55,17.0亿,-44.91,6.14亿,2.75亿,0.54,11.7亿,2.77亿,8.53,33.88,7.28亿,1.75,51.61,58.0亿,11.7亿,15.4亿,16.9亿,38.41,23.6亿,22.3亿,6.52亿,15.8亿,5.67,2.24亿,49.5亿
2050,2035,华帝股份,8.67,12.96,3.02,26,67.8亿,13.78,46.5亿,5.38亿,0.5,39.3亿,5.41亿,2.87,41.91,13.1亿,1.49,46.43,51.6亿,39.3亿,5.66亿,1.97亿,50.38,1.34亿,26.0亿,25.7亿,3110万,0.21,4.42亿,76.4亿
2051,2036,联创电子,9.15,20.61,2.48,41,36.1亿,-2.1,35.4亿,1.94亿,0.33,37.8亿,1.94亿,3.68,22.11,9.01亿,1.64,12.18,66.4亿,37.8亿,13.8亿,7158万,66.15,4.86亿,43.9亿,32.1亿,11.8亿,0.88,1.83亿,50.4亿
2052,2037,久联发展,8.56,28.29,1.31,34,28.0亿,13.86,35.0亿,1.25亿,0.23,71.0亿,1.28亿,6.53,18.27,9.83亿,3,17.93,87.8亿,71.0亿,11.4亿,2.61亿,71.45,6.20亿,62.7亿,53.5亿,9.22亿,1.89,7429万,28.0亿
2053,2038,双鹭药业,24.98,24.12,3.84,22,142亿,100.47,15.5亿,6.03亿,0.78,29.1亿,6.03亿,6.51,36.18,33.2亿,4.85,84.08,47.6亿,29.1亿,4.39亿,2.15亿,5.81,747万,2.77亿,2.42亿,3437万,0.01,5.32亿,171亿
2054,2039,黔源电力,13.33,10.43,1.59,9,40.7亿,-11.6,18.1亿,5.61亿,0.96,10.5亿,5.61亿,8.38,-15.14,9.48亿,3.1,55.14,168亿,10.5亿,155亿,3903万,71.7,11.4亿,120亿,26.3亿,94.0亿,3.75,2.93亿,40.7亿
2055,2040,南 京 港,8.41,18.16,1.24,10,25.8亿,8.15,5.45亿,1.98亿,0.35,6.53亿,1.97亿,6.8,73.86,4.47亿,1.2,50.64,46.9亿,6.53亿,22.6亿,13.0亿,32.84,16.5亿,15.4亿,7.12亿,8.26亿,4.43,1.29亿,31.3亿
2056,2041,登海种业,5.6,670.7,1.78,39,48.9亿,-33.14,3.30亿,-3552万,0.01,29.7亿,-3948万,3.14,-95.15,16.3亿,1.85,31.3,38.4亿,29.7亿,6.06亿,8673万,15.14,2932万,5.82亿,5.52亿,2945万,0.03,551万,49.3亿
2057,2042,华孚时尚,5.61,8.74,1.21,27,85.1亿,21.01,107亿,8.12亿,0.48,112亿,8.26亿,4.64,20.98,29.2亿,1.92,10.78,175亿,112亿,51.1亿,6.10亿,57.47,25.2亿,101亿,96.4亿,4.26亿,1.66,7.32亿,85.2亿
2058,2043,兔 宝 宝,5.32,12.53,2.51,35,36.9亿,5.35,31.1亿,3.17亿,0.32,19.3亿,3.21亿,2.12,1.79,6.28亿,0.76,17.38,32.6亿,19.3亿,2.74亿,7963万,45.12,3.38亿,14.7亿,14.4亿,2608万,0.41,2.64亿,44.2亿
2059,2044,美年健康,13.93,78.8,6.91,21,327亿,43.04,58.2亿,6.69亿,0.13,52.4亿,6.66亿,2.02,68.18,17.5亿,0.56,46.34,151亿,52.4亿,24.1亿,1.58亿,54.31,13.8亿,82.2亿,59.3亿,22.9亿,0.44,4.14亿,435亿
2060,2045,国光电器,5,-28.37,1.29,50,20.8亿,15.61,29.3亿,-8615万,-0.13,29.0亿,-8557万,3.87,-165.27,3.78亿,0.81,13.94,52.1亿,29.0亿,7.11亿,2.13亿,64.04,8.29亿,33.3亿,24.1亿,9.27亿,1.77,-6191万,23.4亿
2061,2046,轴研科技,6.92,64.94,1.37,13,23.6亿,40.98,14.5亿,8336万,0.08,24.1亿,8484万,5.04,44.29,6.05亿,1.15,23.66,44.7亿,24.1亿,9.10亿,4.06亿,37.24,15.0亿,16.7亿,14.8亿,1.84亿,2.86,4191万,36.3亿
2062,2047,宝鹰股份,7.07,23.36,2.39,53,89.3亿,6.24,51.1亿,3.56亿,0.23,79.8亿,3.65亿,2.96,7.66,16.9亿,1.26,15.06,84.7亿,79.8亿,5791万,86.5万,51.74,16.7亿,43.8亿,33.8亿,10.1亿,1.25,3.04亿,94.8亿
2063,2048,宁波华翔,10.84,10.1,0.85,6,49.9亿,-0.36,107亿,8.88亿,0.8,80.8亿,8.91亿,12.76,-19.2,38.6亿,6.16,19.26,154亿,80.8亿,29.7亿,3.96亿,40.55,26.9亿,62.3亿,53.6亿,8.77亿,4.3,5.04亿,67.9亿
2064,2049,紫光国微,30.63,48.45,4.95,50,185亿,30.84,17.1亿,3.14亿,0.47,30.7亿,3.14亿,6.19,35.07,23.6亿,3.89,29.93,54.1亿,30.7亿,1.96亿,4.08亿,30.37,6.19亿,16.4亿,8.59亿,7.82亿,1.02,2.88亿,186亿
2065,2050,三花智控,13.63,21.28,3.43,26,254亿,14.96,82.7亿,12.4亿,0.48,95.8亿,12.4亿,3.97,4.53,42.8亿,2.01,27.94,136亿,95.8亿,27.7亿,5.04亿,37.91,17.0亿,51.6亿,47.7亿,3.95亿,0.83,10.2亿,290亿
2066,2051,中工国际,11.56,10.27,1.45,16,128亿,26.49,78.8亿,10.6亿,0.84,154亿,10.6亿,7.96,10.07,52.2亿,4.69,17.14,184亿,154亿,15.8亿,2.63亿,50.39,18.5亿,92.8亿,89.0亿,3.81亿,1.66,9.39亿,129亿
2067,2052,同洲电子,4.38,-35.53,3.8,42,32.7亿,16.24,6.00亿,-7193万,-0.09,12.8亿,-6906万,1.15,-143.13,-8.53亿,-1.14,12.38,16.9亿,12.8亿,2.35亿,2234万,49.1,8.77亿,8.29亿,8.22亿,778万,1.18,-6897万,32.7亿
2068,2053,云南能投,6.91,37.15,1.62,34,25.7亿,-14.29,9.62亿,1.08亿,0.14,11.2亿,1.05亿,4.27,-37.88,5.33亿,0.96,48.51,39.9亿,11.2亿,9.38亿,1.88亿,36.88,11.9亿,14.7亿,7.73亿,6.99亿,2.12,7790万,38.6亿
2069,2054,德美化工,6.63,56.43,1.55,34,20.7亿,-35.44,12.6亿,7373万,0.09,13.6亿,6400万,4.29,4.48,11.1亿,2.65,28.8,29.0亿,13.6亿,6.41亿,1.10亿,30.37,1.36亿,8.81亿,6.14亿,2.67亿,0.33,3694万,27.8亿
2070,2055,得润电子,10.87,44.69,2.03,50,46.3亿,40.56,53.6亿,8617万,0.18,65.9亿,8773万,5.36,-28.62,8.35亿,1.74,13.85,98.5亿,65.9亿,11.7亿,5.36亿,69.52,12.7亿,68.5亿,58.4亿,10.0亿,2.65,8750万,52.1亿
2071,2056,横店东磁,5.99,14.7,2,50,98.4亿,4.56,45.6亿,5.89亿,0.31,41.9亿,5.89亿,3,25.03,25.5亿,1.55,25.15,67.9亿,41.9亿,20.9亿,3.02亿,27.28,3.62亿,18.5亿,16.6亿,1.91亿,0.22,5.02亿,98.5亿
2072,2057,中钢天源,6.21,16.8,1.81,18,19.8亿,11.8,9.62亿,1.19亿,0.28,11.7亿,1.23亿,3.43,24.42,3.56亿,0.93,26.3,17.4亿,11.7亿,3.54亿,1.11亿,24.28,5.34亿,4.22亿,2.79亿,1.43亿,1.39,1.06亿,23.8亿
2073,2058,威 尔 泰,12.51,1127.6,9.58,30,17.9亿,14.9,7836万,242万,0.01,1.86亿,262万,1.31,154.61,2665万,0.19,37.16,2.21亿,1.86亿,1846万,632万,15.13,37.5万,3340万,2974万,366万,0,119万,17.9亿
2074,2059,云南旅游,5.32,1193.33,2.58,20,38.9亿,32.39,11.0亿,5564万,0,27.5亿,5821万,2.06,-93.14,3.46亿,0.47,23.72,43.5亿,27.5亿,5.10亿,3.21亿,56.47,3.36亿,24.6亿,24.1亿,4600万,0.46,244万,38.9亿
2075,2060,粤 水 电,2.9,29.28,1.19,16,34.8亿,8.9,52.7亿,1.21亿,0.07,81.9亿,1.17亿,2.43,26.63,9.24亿,0.77,11.27,194亿,81.9亿,73.0亿,1.87亿,84.21,6.47亿,163亿,96.7亿,66.8亿,0.54,8931万,34.9亿
2076,2061,浙江交科,8.78,9.31,1.75,16,50.8亿,42.34,183亿,12.5亿,0.71,210亿,12.5亿,5.01,52.1,23.5亿,1.71,10.43,288亿,210亿,36.8亿,5.33亿,74.74,29.4亿,215亿,197亿,18.1亿,2.14,9.73亿,121亿
2077,2062,宏润建设,3.98,14.75,1.5,16,38.2亿,15.51,66.0亿,2.71亿,0.2,107亿,2.86亿,2.65,20.7,14.0亿,1.27,7.26,138亿,107亿,10.7亿,2933万,77.43,4003万,107亿,89.1亿,17.6亿,0.04,2.23亿,43.9亿
2078,2063,远光软件,5.82,28.33,2.3,56,44.0亿,6.41,8.60亿,1.25亿,0.15,18.6亿,1.26亿,2.53,3.56,10.1亿,1.19,67.86,26.1亿,18.6亿,1.69亿,5743万,14.26,1.50亿,3.73亿,3.17亿,5548万,0.18,1.31亿,49.4亿
2079,2064,华峰氨纶,4.26,14.93,1.92,27,65.3亿,10.79,33.6亿,4.27亿,0.21,26.3亿,4.25亿,2.22,27.8,17.4亿,1.04,22.99,57.8亿,26.3亿,18.5亿,2.98亿,35.68,1969万,20.6亿,12.3亿,8.32亿,0.01,3.59亿,71.4亿
2080,2065,东华软件,7.05,25.17,2.38,56,198亿,18.6,50.1亿,6.82亿,0.21,128亿,6.91亿,2.96,-27.32,31.9亿,1.02,32.84,151亿,128亿,2.48亿,1.43亿,38.11,23.7亿,57.6亿,56.8亿,7987万,0.76,6.54亿,220亿
2081,2066,瑞泰科技,8,170,4.39,43,18.5亿,94.06,28.3亿,4941万,0.04,28.3亿,6038万,1.82,8.78,477万,0.02,18.37,40.2亿,28.3亿,6.24亿,2.54亿,76.35,1.63亿,30.7亿,28.7亿,1.95亿,0.71,815万,18.5亿
2082,2067,景兴纸业,3.72,8.78,0.99,28,36.3亿,13.2,44.3亿,4.33亿,0.32,31.0亿,4.32亿,3.75,-26.89,13.5亿,1.19,14.08,64.8亿,31.0亿,26.4亿,1.82亿,32.6,16.9亿,21.1亿,13.9亿,7.20亿,1.5,3.58亿,42.0亿
2083,2068,黑猫股份,6.02,7.46,1.28,34,36.5亿,22.34,57.7亿,5.25亿,0.6,39.8亿,5.21亿,4.69,37.95,11.7亿,1.61,17.6,73.9亿,39.8亿,29.6亿,2.34亿,51.5,14.1亿,38.1亿,37.0亿,1.06亿,1.93,4.40亿,43.8亿
2084,2069,獐子岛,3.5,79.84,6.55,39,24.1亿,-9.42,21.0亿,3159万,0.03,20.8亿,3081万,0.53,-69.9,-15.5亿,-2.18,16.52,36.2亿,20.8亿,10.0亿,3.09亿,87.89,9.74亿,31.8亿,29.2亿,2.62亿,1.37,2338万,24.9亿
2085,2070,*ST众和,----,-10.86,-3.54,44,22.8亿,-73.75,1.53亿,-1.71亿,-0.27,6.94亿,-1.76亿,-1.11,-21.94,-13.7亿,-2.16,14.57,18.7亿,6.94亿,3.77亿,3196万,134.57,0,25.2亿,22.9亿,2.32亿,0,-1.72亿,24.9亿
