,代码,名称,最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润,总市值
3490,300549,优德精密,12.06,33.96,3.21,58,8.35亿,-18.15,2.87亿,4160万,0.27,5.37亿,4144万,3.76,-40.36,1.66亿,1.24,35.54,7.36亿,5.37亿,9637万,2602万,31.87,1.74亿,2.35亿,2.17亿,1752万,1.3,3551万,16.1亿
3491,300550,和仁科技,44.99,109.14,7.04,56,13.2亿,31.7,2.31亿,2714万,0.31,6.44亿,2706万,6.39,24.26,1.98亿,2.38,43.99,8.56亿,6.44亿,1.01亿,1068万,37.14,2.82亿,3.18亿,3.17亿,110万,3.39,2569万,37.4亿
3492,300551,古鳌科技,11.64,-115.82,2.5,58,7.56亿,-14.76,1.11亿,-421万,-0.08,5.67亿,-719万,4.65,-188.31,1.88亿,1.71,46.78,6.65亿,5.67亿,8194万,812万,23.09,1.93亿,1.54亿,1.15亿,3858万,1.75,-829万,12.8亿
3493,300552,万集科技,15.52,-78.38,2.26,56,6.40亿,9.56,3.99亿,-2151万,-0.15,8.93亿,-2121万,6.87,-231.49,2.46亿,2.29,37.83,11.4亿,8.93亿,1.25亿,1711万,35.05,3.65亿,4.00亿,3.48亿,5227万,3.39,-1598万,16.7亿
3494,300553,集智股份,34.11,67.66,4.99,30,5.71亿,29.76,1.06亿,2016万,0.38,2.65亿,2015万,6.84,1.61,9867万,2.06,48.3,3.64亿,2.65亿,8830万,630万,9.58,1.65亿,3484万,3484万,0,3.43,1815万,16.4亿
3495,300554,三超新材,19.31,21.36,3.43,13,9.00亿,66.89,2.73亿,7516万,0.68,4.42亿,7512万,5.62,55.21,2.01亿,2.15,45.98,7.09亿,4.42亿,2.06亿,2265万,25.78,2.19亿,1.83亿,1.71亿,1174万,2.34,6348万,18.1亿
3496,300555,路通视信,9.01,99.93,2.83,42,8.38亿,-7.43,2.45亿,1090万,0.07,6.72亿,1461万,3.18,-53.32,2.36亿,1.18,24.07,8.16亿,6.72亿,9417万,1640万,21.51,1.70亿,1.75亿,1.72亿,313万,0.85,1352万,18.0亿
3497,300556,丝路视觉,17.03,35.3,4.34,56,10.6亿,31.11,4.44亿,3958万,0.36,5.60亿,3952万,3.92,249.23,1.34亿,1.16,39.29,7.19亿,5.60亿,2838万,438万,37.19,2.33亿,2.67亿,2.17亿,5018万,2.03,4156万,19.6亿
3498,300557,理工光科,23.61,-31.51,3.02,30,8.02亿,-68.25,4622万,-3188万,-0.56,4.84亿,-3184万,7.83,-377.58,1.51亿,2.71,34.81,5.76亿,4.84亿,2770万,1659万,23.33,1.98亿,1.34亿,1.25亿,941万,3.56,-3128万,13.1亿
3499,300558,贝达药业,31.66,64.44,5.87,22,53.7亿,20.74,9.28亿,1.70亿,0.37,5.97亿,1.77亿,5.39,-27.37,10.1亿,2.52,95.47,32.4亿,5.97亿,4.55亿,5.28亿,32.91,6.10亿,10.7亿,6.96亿,3.70亿,1.52,1.48亿,127亿
3500,300559,佳发教育,37.6,51.26,7.29,56,28.7亿,138.26,2.43亿,8332万,0.55,7.30亿,8332万,5.16,94.55,3.09亿,2.2,56.19,9.38亿,7.30亿,8645万,2507万,20,2.57亿,1.88亿,1.86亿,120万,1.9,7713万,52.7亿
